COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e006903,1,1,5,1
3,e_e006903,2,1,2,1
2,e_e006903,2,1,2,1
1,e_e006938,1,2,4,1
2,e_e006948,2,2,2,1
1,e_e006948,1,1,5,1
1,e_e007195,8,1,3,3
1,e_e007274,1,2,5,1
1,e_e007275,7,1,4,3
1,e_e007414,5,2,3,1
1,e_e007463,7,1,4,1
1,e_e007539,3,1,7,1
3,e_e007539,5,2,3,1
2,e_e007539,5,2,3,1
4,e_e007539,5,2,3,1
2,e_e007569,2,2,3,1
1,e_e007569,2,2,3,1
1,e_e007624,8,1,3,1
1,e_e007642,1,2,6,1
2,e_e007642,2,2,3,1
1,e_e007666,7,2,3,1
1,e_e007691,8,1,3,1
1,e_e007701,7,2,3,1
3,e_e007750,7,2,4,3
2,e_e007750,7,2,4,3
1,e_e007750,7,2,4,3
1,e_e007774,1,1,6,1
2,e_e007785,7,1,4,3
1,e_e007785,7,1,4,3
1,e_e007787,7,2,3,2
2,e_e007790,2,1,2,1
1,e_e007790,1,2,5,1
2,e_e007810,2,2,1,1
1,e_e007810,1,1,5,1
1,e_e007823,8,1,4,3
1,e_e007830,7,2,6,3
3,e_e007830,7,2,5,3
5,e_e007830,7,2,6,3
2,e_e007830,7,2,6,3
4,e_e007830,7,2,6,3
1,e_e007857,1,1,4,1
2,e_e007857,2,1,1,1
1,e_e007909,8,1,3,3
3,e_e008065,7,1,3,1
2,e_e008065,7,2,3,1
4,e_e008065,7,1,3,1
1,e_e008065,7,2,3,1
1,e_e008071,8,1,4,1
1,e_e008154,8,1,3,1
2,e_e008184,3,2,6,1
1,e_e008184,3,1,7,1
1,e_e008223,1,1,4,1
1,e_e008242,5,1,3,1
1,e_e008252,7,1,3,1
1,e_e008327,1,1,5,1
1,e_e008339,3,2,7,1
1,e_e008340,8,2,4,1
1,e_e008379,3,2,6,1
1,e_e009077,7,2,3,1
1,e_e009084,7,2,3,1
3,e_e009084,7,2,3,2
2,e_e009084,7,2,3,2
1,e_e009202,8,2,3,1
1,e_e009309,8,1,3,1
1,e_e009438,1,1,5,1
1,e_e009459,8,1,3,3
1,e_e009557,8,1,3,1
1,e_e009581,7,2,3,3
1,e_e009589,8,1,4,3
2,e_e009688,5,2,2,1
1,e_e009688,3,2,5,1
1,e_e009933,3,2,6,1
1,e_e010095,1,1,5,1
1,e_e010149,8,1,3,1
1,e_e010197,8,2,3,1
1,e_e010211,8,1,3,1
2,e_e010232,2,2,5,1
1,e_e010232,2,1,5,1
2,e_e010236,3,2,7,1
1,e_e010236,3,1,7,1
1,e_e010241,7,2,3,1
1,e_e010244,7,2,3,1
1,e_e010258,8,1,5,3
1,e_e010474,8,1,4,1
2,e_e010488,2,2,1,1
1,e_e010488,1,1,5,1
3,e_e010488,2,2,1,1
1,e_e010671,10,2,4,2
1,e_e010710,8,1,3,1
1,e_e010733,8,1,3,1
1,e_e010770,8,1,4,1
1,e_e010784,5,2,2,1
1,e_e010882,8,1,3,1
1,e_e010958,2,1,3,1
1,e_e011166,8,1,3,1
1,e_e011216,2,1,1,1
1,e_e011425,3,2,6,1
2,e_e011425,8,1,4,1
1,e_e011477,8,1,4,1
1,e_e011493,8,1,3,1
2,e_e011493,11,1,1,1
1,e_e011703,8,1,5,1
2,e_e011954,2,1,1,1
1,e_e011954,1,1,4,1
3,e_e011954,2,1,1,1
1,e_e012208,7,2,3,3
1,e_e012216,3,2,8,1
1,e_e012475,7,2,3,3
2,e_e012475,7,2,3,3
1,e_e012491,8,1,3,1
2,e_e012763,3,2,7,1
1,e_e012763,3,1,7,1
